sessionId,participantId,first_paper,second_paper,third_paper,condition_first,condition_second,condition_third,contextual_paper,cross_mc_total_questions,cross_mc_first_attempt_correct_count,cross_mc_first_attempt_accuracy,cross_mc_total_wrong_before_correct,cross_free_text_possible,cross_free_text_scored_count,cross_free_text_score,cross_total_score
-w3AvKVnaBWV,P01,paper4,paper5,paper6,no_highlights,all_highlights,contextual_highlights,paper6,5,5,1.0,0,5,5,5,10
1Y5j3zzSLiPn,P23,paper6,paper4,paper5,all_highlights,no_highlights,contextual_highlights,paper5,5,5,1.0,0,5,5,4,9
2-YjQNYBYBqC,P13,paper4,paper5,paper6,no_highlights,all_highlights,contextual_highlights,paper6,5,5,1.0,0,5,5,5,10
2FvA4lMHIGC6,P04,paper5,paper6,paper4,no_highlights,all_highlights,contextual_highlights,paper4,5,5,1.0,0,5,5,5,10
3Y9tHFuB29bm,P10,paper5,paper6,paper4,all_highlights,no_highlights,contextual_highlights,paper4,5,5,1.0,0,5,5,2,7
6ojE3t27za7h,P08,paper4,paper6,paper5,all_highlights,no_highlights,contextual_highlights,paper5,5,4,0.8,1,5,5,5,9
7IOV51oWcucF,P15,paper5,paper4,paper6,no_highlights,all_highlights,contextual_highlights,paper6,5,5,1.0,0,5,5,4,9
GbE3cKPcTDTP,P18,paper6,paper5,paper4,no_highlights,all_highlights,contextual_highlights,paper4,5,4,0.8,1,5,5,4,8
IKYlrEkGADM1,P06,paper6,paper5,paper4,no_highlights,all_highlights,contextual_highlights,paper4,5,3,0.6,2,5,5,2,5
JyrmZNAazAfE,P17,paper6,paper4,paper5,no_highlights,all_highlights,contextual_highlights,paper5,5,5,1.0,0,5,5,4,9
OypI5I6Xeszw,P11,paper6,paper4,paper5,all_highlights,no_highlights,contextual_highlights,paper5,5,5,1.0,0,5,5,5,10
PQ23p4viZMPU,P21,paper5,paper4,paper6,all_highlights,no_highlights,contextual_highlights,paper6,5,5,1.0,0,5,5,4,9
TPMlxqwnZxoE,P24,paper6,paper5,paper4,all_highlights,no_highlights,contextual_highlights,paper4,5,5,1.0,0,5,5,4,9
UHujtjGivmNX,P22,paper5,paper6,paper4,all_highlights,no_highlights,contextual_highlights,paper4,5,5,1.0,0,5,5,4,9
VvVFmWCnsBh9,P02,paper4,paper6,paper5,no_highlights,all_highlights,contextual_highlights,paper5,5,5,1.0,0,5,5,4,9
oGkqBiOwjVaX,P14,paper4,paper6,paper5,no_highlights,all_highlights,contextual_highlights,paper5,5,5,1.0,0,5,5,5,10
si4VzW7-ppAb,P25,paper4,paper5,paper6,no_highlights,all_highlights,contextual_highlights,paper6,5,5,1.0,0,5,5,4,9
unoYjfZGC4vk,P07,paper4,paper5,paper6,all_highlights,no_highlights,contextual_highlights,paper6,5,3,0.6,2,5,5,5,8
xfDHi0oFCcG1,P19,paper4,paper5,paper6,all_highlights,no_highlights,contextual_highlights,paper6,5,5,1.0,0,5,5,4,9
yoVjdkraxoaw,P05,paper6,paper4,paper5,no_highlights,all_highlights,contextual_highlights,paper5,5,5,1.0,0,5,5,3,8
ysef_y0CgBcS,P20,paper4,paper6,paper5,all_highlights,no_highlights,contextual_highlights,paper5,5,5,1.0,0,5,5,4,9
zBd8hiCijgyR,P12,paper6,paper5,paper4,all_highlights,no_highlights,contextual_highlights,paper4,5,3,0.6,2,5,5,3,6
ziBB2Pvgz3s3,P09,paper5,paper4,paper6,all_highlights,no_highlights,contextual_highlights,paper6,5,5,1.0,0,5,5,5,10
zrekyLviaI_R,P03,paper5,paper4,paper6,no_highlights,all_highlights,contextual_highlights,paper6,5,2,0.4,4,5,5,4,6
